Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
58463,11392,0,0,deny,66,66,0,1,0,1,0
57083,53,56856,53,allow,755,94,661,2,31,1,1
56793,53,56695,53,allow,192,98,94,2,0,1,1
63326,445,0,0,drop,66,66,0,1,0,1,0
50587,80,51672,80,allow,378,192,186,7,20,4,3
49546,53,57576,53,allow,208,106,102,2,31,1,1
50384,443,60892,443,allow,7723,2591,5132,23,49,12,11
49044,443,55687,443,allow,5150,853,4297,16,27,9,7
51823,15843,53132,15843,allow,66,66,0,2,9,2,0
37965,33622,23125,33622,allow,132,132,0,3,1199,3,0
57305,443,15646,443,allow,1574,1089,485,13,15,8,5
55461,53,35895,53,allow,198,110,88,2,30,1,1
50195,445,0,0,drop,70,70,0,1,0,1,0
65244,53,54645,53,allow,177,94,83,2,30,1,1
65102,53,16634,53,allow,210,102,108,2,30,1,1
62071,22114,0,0,deny,62,62,0,1,0,1,0
64212,53,41326,53,allow,215,102,113,2,30,1,1
65477,53,50858,53,allow,209,110,99,2,30,1,1
45941,23388,0,0,deny,60,60,0,1,0,1,0
63053,445,0,0,drop,70,70,0,1,0,1,0
19557,53,19557,53,allow,194,87,107,2,30,1,1
56586,53,32780,53,allow,177,94,83,2,31,1,1
55594,53,11300,53,allow,753,96,657,2,31,1,1
56148,445,0,0,drop,70,70,0,1,0,1,0
53238,443,11082,443,allow,27650,12347,15303,47,53,24,23
56293,53,53658,53,allow,166,86,80,2,30,1,1
10101,443,13897,443,allow,7563,1536,6027,26,316,14,12
53106,445,0,0,drop,70,70,0,1,0,1,0
58435,445,0,0,drop,66,66,0,1,0,1,0
62125,445,0,0,drop,66,66,0,1,0,1,0
59347,445,0,0,drop,70,70,0,1,0,1,0
53660,443,62189,443,allow,2955,864,2091,11,119,5,6
64772,64147,0,0,deny,66,66,0,1,0,1,0
50328,22114,0,0,deny,66,66,0,1,0,1,0
55318,53,32183,53,allow,167,86,81,2,31,1,1
63333,445,0,0,drop,70,70,0,1,0,1,0
60453,24369,18318,24369,allow,70,70,0,1,5,1,0
53763,443,53593,443,allow,499,425,74,4,0,3,1
50656,80,17387,80,allow,318,192,126,6,25,4,2
62872,50584,0,0,deny,62,62,0,1,0,1,0
58754,445,0,0,drop,70,70,0,1,0,1,0
53088,443,43774,443,allow,161938,137946,23992,412,384,227,185
62044,445,0,0,drop,70,70,0,1,0,1,0
44993,53,47761,53,allow,168,78,90,2,30,1,1
64877,53,24531,53,allow,309,110,199,2,30,1,1
46087,123,1853,123,allow,184,94,90,2,30,1,1
5588,5588,0,0,allow,3562,1936,1626,48,195,24,24
64381,53,26257,53,allow,198,102,96,2,30,1,1
51952,50967,20758,50967,allow,70,70,0,1,5,1,0
50578,80,35081,80,allow,367162,17367,349795,470,143,214,256
443,10010,0,0,deny,60,60,0,1,0,1,0
14036,48817,0,0,deny,66,66,0,1,0,1,0
49412,53,45661,53,allow,761,102,659,2,29,1,1
49913,53,6290,53,allow,216,110,106,2,30,1,1
56919,53,21784,53,allow,177,94,83,2,29,1,1
49396,53,24683,53,allow,170,87,83,2,30,1,1
58628,445,0,0,drop,70,70,0,1,0,1,0
59587,25174,0,0,deny,62,62,0,1,0,1,0
31619,51221,0,0,deny,62,62,0,1,0,1,0
49981,53,44663,53,allow,360,102,258,2,30,1,1
56200,53,9546,53,allow,206,105,101,2,30,1,1
49286,23,0,0,deny,60,60,0,1,0,1,0
56063,53,23721,53,allow,196,102,94,2,31,1,1
40988,80,28753,80,allow,19112,2192,16920,46,90,23,23
37008,42707,0,0,deny,62,62,0,1,0,1,0
27005,27016,31585,27016,allow,876,126,750,2,30,1,1
59112,445,0,0,drop,70,70,0,1,0,1,0
58849,64147,0,0,deny,66,66,0,1,0,1,0
8560,50584,0,0,deny,62,62,0,1,0,1,0
54458,445,0,0,drop,70,70,0,1,0,1,0
50920,443,55566,443,allow,6273,1375,4898,18,127,9,9
56088,53,23327,53,allow,256,93,163,2,31,1,1
54816,443,23557,443,allow,130,70,60,3,4,2,1
52163,443,4704,443,allow,4187,773,3414,16,30,9,7
55697,53,39982,53,allow,186,95,91,2,31,1,1
64811,53,21833,53,allow,193,102,91,2,30,1,1
60505,53,0,0,allow,340,90,250,2,31,1,1
49933,53,13874,53,allow,186,102,84,2,30,1,1
49874,445,0,0,drop,70,70,0,1,0,1,0
9307,443,6375,443,allow,4458,1022,3436,16,26,9,7
27005,27015,40148,27015,allow,886,126,760,2,31,1,1
27739,7000,27739,7000,allow,2163,676,1487,14,15,7,7
64073,53,23568,53,allow,199,102,97,2,30,1,1
61523,37807,0,0,deny,66,66,0,1,0,1,0
52255,445,0,0,drop,66,66,0,1,0,1,0
10151,38030,53424,38030,allow,481,150,331,2,1200,1,1
49558,443,48351,443,allow,12704,3459,9245,50,1336,18,32
63841,445,0,0,drop,70,70,0,1,0,1,0
58993,443,47340,443,allow,6414,1614,4800,24,17,13,11
51550,53,60452,53,allow,168,78,90,2,30,1,1
57600,80,57600,80,allow,3164,815,2349,12,144,6,6
59005,443,56215,443,allow,6306,1780,4526,28,33,14,14
60939,445,0,0,drop,70,70,0,1,0,1,0
3830,26467,0,0,deny,66,66,0,1,0,1,0
55071,53,10472,53,allow,170,87,83,2,31,1,1
55754,53,55090,53,allow,199,102,97,2,30,1,1
49728,443,36312,443,allow,5037,1135,3902,16,18,9,7
55994,22114,0,0,deny,66,66,0,1,0,1,0
49902,443,36938,443,allow,109400,8787,100613,159,81,78,81
58638,5900,0,0,deny,62,62,0,1,0,1,0
61422,443,38584,443,allow,8360,1781,6579,23,77,12,11
49498,53,33432,53,allow,211,102,109,2,30,1,1
56365,53,14208,53,allow,199,102,97,2,30,1,1
61698,80,14302,80,allow,7712,4248,3464,23,51,12,11
1036,64147,0,0,deny,145,145,0,1,0,1,0
8889,33698,0,0,deny,60,60,0,1,0,1,0
51833,47388,62543,47388,allow,70,70,0,1,5,1,0
53856,443,18832,443,allow,495,421,74,4,0,3,1
51774,80,22011,80,allow,240,120,120,5,27,3,2
55082,25174,0,0,deny,62,62,0,1,0,1,0
61395,445,0,0,drop,70,70,0,1,0,1,0
55216,53,52646,53,allow,179,94,85,2,30,1,1
56486,443,16895,443,allow,2673671,30446,2643225,2145,125,234,1911
59882,443,38875,443,allow,10017,3031,6986,30,45,17,13
59570,443,54074,443,allow,6713,3052,3661,49,5974,15,34
55012,445,0,0,drop,70,70,0,1,0,1,0
60469,53,22418,53,allow,78,78,0,1,30,1,0
10262,11392,0,0,deny,62,62,0,1,0,1,0
54717,445,0,0,drop,66,66,0,1,0,1,0
52569,445,0,0,drop,70,70,0,1,0,1,0
64728,443,31234,443,allow,25423484,377367,25046117,21027,1082,2865,18162
55656,53,48878,53,allow,212,108,104,2,31,1,1
1888,51505,0,0,deny,62,62,0,1,0,1,0
62617,445,0,0,drop,70,70,0,1,0,1,0
54849,22448,0,0,allow,66,66,0,1,90,1,0
47910,7461,0,0,deny,60,60,0,1,0,1,0
50600,80,53751,80,allow,1658,1247,411,8,15,5,3
53498,445,0,0,drop,66,66,0,1,0,1,0
0,0,0,0,deny,98,98,0,1,0,1,0
56366,443,31914,443,allow,3715,1791,1924,23,203,12,11
9249,443,2759,443,allow,6132,767,5365,17,26,9,8
62872,445,0,0,drop,66,66,0,1,0,1,0
62995,53,21772,53,allow,102,102,0,1,30,1,0
56277,445,0,0,drop,66,66,0,1,0,1,0
6881,30279,63096,30279,allow,150,150,0,1,1200,1,0
43032,443,42506,443,allow,2940,1721,1219,17,361,9,8
1024,26296,0,0,deny,159,159,0,1,0,1,0
50723,80,33475,80,allow,1546,1109,437,7,15,5,2
55729,63805,38910,63805,allow,70,70,0,2,8,2,0
26881,25174,0,0,deny,66,66,0,1,0,1,0
49897,445,0,0,drop,66,66,0,1,0,1,0
50523,53,17417,53,allow,199,102,97,2,30,1,1
51771,80,34714,80,allow,76066,3663,72403,92,24,40,52
10467,25174,0,0,deny,62,62,0,1,0,1,0
40800,443,27923,443,allow,19403,4043,15360,36,48,19,17
59637,53,37515,53,allow,273,94,179,2,30,1,1
61838,37965,0,0,deny,66,66,0,1,0,1,0
62559,445,0,0,drop,70,70,0,1,0,1,0
43260,41615,0,0,deny,145,145,0,1,0,1,0
57378,445,0,0,drop,66,66,0,1,0,1,0
53140,80,7682,80,allow,9602,814,8788,19,129,10,9
43223,443,31934,443,allow,836939,25380,811559,864,64,302,562
50787,445,0,0,drop,66,66,0,1,0,1,0
58848,24855,0,0,allow,66,66,0,1,90,1,0
48817,51413,48817,51413,allow,460,150,310,2,1200,1,1
59845,44847,0,0,deny,66,66,0,1,0,1,0
55584,53,28071,53,allow,177,94,83,2,30,1,1
65252,445,0,0,drop,70,70,0,1,0,1,0
52838,37965,0,0,deny,66,66,0,1,0,1,0
4935,3389,0,0,deny,66,66,0,1,0,1,0
60184,37965,0,0,deny,66,66,0,1,0,1,0
51582,48817,0,0,deny,66,66,0,1,0,1,0
64407,53,28727,53,allow,291,94,197,2,30,1,1
50022,53,19595,53,allow,182,94,88,2,30,1,1
52716,443,35091,443,allow,69951,4941,65010,95,351,45,50
50820,57470,0,0,deny,62,62,0,1,0,1,0
56644,443,57838,443,allow,7862,1873,5989,20,15,11,9
32578,443,32578,443,allow,25033,2433,22600,42,25,21,21
46829,64147,0,0,deny,146,146,0,1,0,1,0
11030,17372,0,0,deny,62,62,0,1,0,1,0
51448,80,39374,80,allow,214,140,74,4,15,3,1
49838,445,0,0,drop,70,70,0,1,0,1,0
56935,53,38764,53,allow,179,94,85,2,30,1,1
53792,445,0,0,drop,70,70,0,1,0,1,0
50613,445,0,0,drop,70,70,0,1,0,1,0
36561,2767,0,0,deny,62,62,0,1,0,1,0
52713,443,22767,443,allow,26235,2216,24019,39,318,17,22
16387,35583,0,0,deny,60,60,0,1,0,1,0
48831,443,51436,443,allow,10129,5016,5113,18,120,9,9
59516,443,21075,443,allow,9943,1882,8061,32,33,15,17
40146,53,0,0,allow,300,86,214,2,30,1,1
57318,53,50520,53,allow,418,88,330,4,41,2,2
6881,13929,23344,13929,allow,502,150,352,2,1200,1,1
37330,53,37330,53,allow,237,91,146,2,31,1,1
6881,33969,15980,33969,allow,509,150,359,2,1200,1,1
52003,80,22055,80,allow,16479,1820,14659,31,26,17,14
51067,445,0,0,drop,70,70,0,1,0,1,0
49741,53,17465,53,allow,177,94,83,2,30,1,1
51378,3027,51378,3027,allow,156,156,0,3,8,3,0
13699,53,13699,53,allow,194,87,107,2,30,1,1
50181,80,60161,80,allow,2149,1165,984,15,77,8,7
46232,53,46232,53,allow,216,90,126,2,30,1,1
55423,445,0,0,drop,70,70,0,1,0,1,0
49328,53,46932,53,allow,748,94,654,2,30,1,1
56612,53,25011,53,allow,274,87,187,4,31,2,2
52837,35440,0,0,deny,66,66,0,1,0,1,0
57399,445,0,0,drop,70,70,0,1,0,1,0
37664,443,11325,443,allow,3338,2337,1001,18,45,11,7
53769,443,28627,443,allow,499,425,74,4,0,3,1
53933,445,0,0,drop,66,66,0,1,0,1,0
65313,53,7915,53,allow,166,86,80,2,30,1,1
54225,443,6300,443,allow,499,425,74,4,0,3,1
59936,445,0,0,drop,66,66,0,1,0,1,0
53528,20485,38765,20485,allow,70,70,0,2,7,2,0
64956,53,29274,53,allow,196,102,94,2,30,1,1
9102,29635,0,0,deny,148,148,0,1,0,1,0
55027,37965,0,0,deny,145,145,0,1,0,1,0
58732,443,10734,443,allow,1038,502,536,16,33,8,8
58869,443,7982,443,allow,4052,2588,1464,18,16,9,9
59552,445,0,0,drop,70,70,0,1,0,1,0
63665,445,0,0,drop,70,70,0,1,0,1,0
47000,53,0,0,allow,82,82,0,1,31,1,0
51975,11998,29831,11998,allow,66,66,0,1,5,1,0
64862,445,0,0,drop,66,66,0,1,0,1,0
53934,445,0,0,drop,70,70,0,1,0,1,0
49418,27015,26438,27015,allow,78,78,0,1,30,1,0
49840,53,47224,53,allow,463,87,376,4,38,2,2
49879,445,0,0,drop,70,70,0,1,0,1,0
54308,445,0,0,drop,70,70,0,1,0,1,0
54587,445,0,0,drop,66,66,0,1,0,1,0
45944,44847,0,0,deny,146,146,0,1,0,1,0
10088,37807,0,0,deny,66,66,0,1,0,1,0
65298,53,43096,53,allow,246,102,144,2,30,1,1
55795,53,49814,53,allow,177,94,83,2,30,1,1
443,14315,0,0,deny,158,158,0,1,0,1,0
47034,443,4001,443,allow,4531,3268,1263,23,27,13,10
64235,53,36798,53,allow,194,99,95,2,30,1,1
65377,443,4212,443,allow,4864,2496,2368,33,121,17,16
57987,3478,22536,3478,allow,312,140,172,4,30,2,2
56098,55442,0,0,deny,66,66,0,1,0,1,0
443,9863,0,0,deny,60,60,0,1,0,1,0
53878,55950,30797,55950,allow,70,70,0,1,5,1,0
46770,80,34528,80,allow,2068,1371,697,13,83,7,6
49363,53,12270,53,allow,208,106,102,2,30,1,1
22916,25174,0,0,deny,62,62,0,1,0,1,0
56986,53,63697,53,allow,177,94,83,2,30,1,1
62900,445,0,0,drop,70,70,0,1,0,1,0
5176,53,35292,53,allow,86,86,0,1,30,1,0
57034,44847,0,0,deny,62,62,0,1,0,1,0
49433,53,5828,53,allow,167,86,81,2,29,1,1
37637,53,37222,53,allow,168,78,90,2,30,1,1
49745,53,63902,53,allow,1472,98,1374,4,54,2,2
64266,53,14538,53,allow,255,102,153,2,30,1,1
49235,53,6024,53,allow,164,86,78,2,31,1,1
56369,53,59261,53,allow,193,102,91,2,29,1,1
49193,445,0,0,drop,70,70,0,1,0,1,0
65206,53,37251,53,allow,193,102,91,2,30,1,1
63581,445,0,0,drop,66,66,0,1,0,1,0
62709,57470,0,0,deny,62,62,0,1,0,1,0
45341,443,7736,443,allow,2754,1394,1360,22,36,11,11
56496,53,41605,53,allow,193,102,91,2,30,1,1
44052,80,38453,80,allow,282,60,222,5,12,2,3
54797,445,0,0,drop,70,70,0,1,0,1,0
50581,53,22242,53,allow,177,94,83,2,30,1,1
40404,443,18265,443,allow,280,140,140,5,130,3,2
61915,445,0,0,drop,70,70,0,1,0,1,0
53906,37965,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
56040,53,54233,53,allow,761,100,661,2,30,1,1
41981,80,51523,80,allow,1556,1236,320,10,15,5,5
50907,443,12062,443,allow,124,64,60,2,15,1,1
65487,53,56832,53,allow,210,110,100,2,30,1,1
43815,50584,0,0,deny,146,146,0,1,0,1,0
57626,443,3957,443,allow,3858,1277,2581,12,120,6,6
65259,445,0,0,drop,66,66,0,1,0,1,0
56351,53,53304,53,allow,195,102,93,2,33,1,1
55377,53,19699,53,allow,1428,103,1325,4,32,2,2
1070,26467,0,0,deny,62,62,0,1,0,1,0
51861,23919,4159,23919,allow,70,70,0,1,5,1,0
51992,445,0,0,drop,70,70,0,1,0,1,0
40078,44847,0,0,deny,146,146,0,1,0,1,0
48840,50584,0,0,deny,62,62,0,1,0,1,0
49863,443,52855,443,allow,7280,1441,5839,17,89,9,8
64941,53,8617,53,allow,199,102,97,2,30,1,1
22547,48817,0,0,deny,72,72,0,1,0,1,0
53731,443,61889,443,allow,499,425,74,4,0,3,1
58638,5900,0,0,deny,62,62,0,1,0,1,0
60474,443,49891,443,allow,5888,1175,4713,19,76,11,8
53830,445,0,0,drop,70,70,0,1,0,1,0
57265,443,12728,443,allow,9633,4368,5265,32,71,18,14
57334,53,51470,53,allow,184,94,90,2,29,1,1
52539,80,47321,80,allow,1152,712,440,10,15,5,5
14489,25174,0,0,deny,146,146,0,1,0,1,0
65229,53,47918,53,allow,195,102,93,2,30,1,1
57827,445,0,0,drop,70,70,0,1,0,1,0
37579,443,43995,443,allow,499,425,74,4,0,3,1
64758,443,35347,443,allow,5066,2558,2508,26,127,13,13
55960,445,0,0,drop,70,70,0,1,0,1,0
52740,51505,0,0,deny,66,66,0,1,0,1,0
57025,53,3380,53,allow,168,86,82,2,31,1,1
40254,25174,0,0,deny,146,146,0,1,0,1,0
54079,443,33342,443,allow,1050267,44816,1005451,1276,177,580,696
55195,443,41833,443,allow,907774,32911,874863,898,460,195,703
52040,53,52040,53,allow,251,98,153,2,31,1,1
37116,80,37116,80,allow,2971,1509,1462,10,15,6,4
55667,19667,52444,19667,allow,70,70,0,2,8,2,0
39086,53733,0,0,deny,146,146,0,1,0,1,0
80,9918,0,0,deny,60,60,0,1,0,1,0
55928,443,33892,443,allow,5433,3275,2158,16,135,8,8
50002,53,11892,53,allow,196,102,94,2,31,1,1
53869,17089,38908,17089,allow,70,70,0,1,4,1,0
53804,445,0,0,drop,66,66,0,1,0,1,0
52492,37965,0,0,deny,66,66,0,1,0,1,0
51911,14543,57115,14543,allow,70,70,0,2,8,2,0
55704,53,11582,53,allow,260,102,158,2,30,1,1
57038,53,18190,53,allow,240,86,154,2,30,1,1
50069,53,45809,53,allow,764,102,662,2,29,1,1
37011,25174,0,0,deny,62,62,0,1,0,1,0
7889,48817,0,0,deny,146,146,0,1,0,1,0
63622,445,0,0,drop,70,70,0,1,0,1,0
50478,443,64929,443,allow,36345,2308,34037,52,83,23,29
55865,53,14766,53,allow,325,98,227,4,40,2,2
49508,53,13388,53,allow,199,102,97,2,30,1,1
60192,35440,0,0,deny,66,66,0,1,0,1,0
63795,445,0,0,drop,66,66,0,1,0,1,0
53113,8372,13040,8372,allow,758,320,438,11,17,6,5
64120,443,47176,443,allow,3767437,87322,3680115,3675,52,1230,2445
63321,37807,0,0,deny,66,66,0,1,0,1,0
53394,445,0,0,drop,70,70,0,1,0,1,0
34319,443,65277,443,allow,15358,11148,4210,93,423,51,42
58638,5900,0,0,deny,62,62,0,1,0,1,0
53806,37267,20623,37267,allow,70,70,0,1,4,1,0
50907,445,0,0,drop,70,70,0,1,0,1,0
55285,53,1660,53,allow,268,95,173,4,45,2,2
60951,443,8364,443,allow,11464,5499,5965,54,15,29,25
58760,443,37477,443,allow,5927,794,5133,17,25,8,9
10547,57470,0,0,deny,62,62,0,1,0,1,0
54472,443,49806,443,allow,6732,2308,4424,21,141,9,12
57073,57470,0,0,deny,62,62,0,1,0,1,0
57545,445,0,0,drop,70,70,0,1,0,1,0
58865,445,0,0,drop,70,70,0,1,0,1,0
55618,45341,55864,45341,allow,70,70,0,2,8,2,0
5462,21247,0,0,deny,62,62,0,1,0,1,0
56938,53,41054,53,allow,198,101,97,2,30,1,1
44682,443,42842,443,allow,2750,1891,859,17,25,10,7
33193,50584,0,0,deny,62,62,0,1,0,1,0
51963,21638,43079,21638,allow,70,70,0,1,5,1,0
25776,53,25776,53,allow,233,90,143,2,32,1,1
55618,56205,0,0,deny,62,62,0,1,0,1,0
1100,27540,42086,27540,allow,132,70,62,2,29,1,1
27005,27017,57092,27017,allow,900,126,774,2,30,1,1
43584,24748,0,0,deny,156,156,0,1,0,1,0
60355,443,30669,443,allow,5341,2434,2907,19,135,9,10
14578,50584,0,0,deny,66,66,0,1,0,1,0
46275,64147,0,0,deny,62,62,0,1,0,1,0
16387,35308,0,0,deny,60,60,0,1,0,1,0
49668,53,59883,53,allow,200,94,106,2,29,1,1
57371,445,0,0,drop,70,70,0,1,0,1,0
57934,445,0,0,drop,66,66,0,1,0,1,0
53126,443,9290,443,allow,5604,2738,2866,20,325,10,10
45964,5333,0,0,deny,60,60,0,1,0,1,0
56804,33375,39167,33375,allow,70,70,0,2,8,2,0
64986,53,17110,53,allow,183,94,89,2,31,1,1
56646,80,51204,80,allow,234,234,0,4,12,4,0
49531,443,58024,443,allow,8107,2474,5633,24,25,12,12
56092,56205,0,0,deny,146,146,0,1,0,1,0
53632,445,0,0,drop,70,70,0,1,0,1,0
64181,53,18587,53,allow,194,102,92,2,31,1,1
57396,445,0,0,drop,66,66,0,1,0,1,0
51100,443,10929,443,allow,9429,1978,7451,27,46,14,13
65197,445,0,0,drop,70,70,0,1,0,1,0
34936,30188,0,0,deny,62,62,0,1,0,1,0
55808,445,0,0,drop,66,66,0,1,0,1,0
55999,443,53262,443,allow,45632,2078,43554,58,120,22,36
36548,25174,0,0,deny,62,62,0,1,0,1,0
57185,53,50357,53,allow,784,94,690,2,30,1,1
51982,443,54748,443,allow,9010,2779,6231,30,361,15,15
32805,443,65246,443,allow,438124,21529,416595,481,398,138,343
52781,443,23345,443,allow,1581,924,657,15,125,7,8
