Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
49044,443,55687,443,5150,853,4297,16,27,9,7
51823,15843,53132,15843,66,66,0,2,9,2,0
37965,33622,23125,33622,132,132,0,3,1199,3,0
57305,443,15646,443,1574,1089,485,13,15,8,5
55461,53,35895,53,198,110,88,2,30,1,1
65244,53,54645,53,177,94,83,2,30,1,1
65102,53,16634,53,210,102,108,2,30,1,1
64212,53,41326,53,215,102,113,2,30,1,1
65477,53,50858,53,209,110,99,2,30,1,1
19557,53,19557,53,194,87,107,2,30,1,1
56586,53,32780,53,177,94,83,2,31,1,1
55594,53,11300,53,753,96,657,2,31,1,1
53238,443,11082,443,27650,12347,15303,47,53,24,23
56293,53,53658,53,166,86,80,2,30,1,1
10101,443,13897,443,7563,1536,6027,26,316,14,12
53660,443,62189,443,2955,864,2091,11,119,5,6
55318,53,32183,53,167,86,81,2,31,1,1
60453,24369,18318,24369,70,70,0,1,5,1,0
53763,443,53593,443,499,425,74,4,0,3,1
50656,80,17387,80,318,192,126,6,25,4,2
53088,443,43774,443,161938,137946,23992,412,384,227,185
44993,53,47761,53,168,78,90,2,30,1,1
64877,53,24531,53,309,110,199,2,30,1,1
46087,123,1853,123,184,94,90,2,30,1,1
5588,5588,0,0,3562,1936,1626,48,195,24,24
64381,53,26257,53,198,102,96,2,30,1,1
51952,50967,20758,50967,70,70,0,1,5,1,0
50578,80,35081,80,367162,17367,349795,470,143,214,256
49412,53,45661,53,761,102,659,2,29,1,1
49913,53,6290,53,216,110,106,2,30,1,1
56919,53,21784,53,177,94,83,2,29,1,1
49396,53,24683,53,170,87,83,2,30,1,1
49981,53,44663,53,360,102,258,2,30,1,1
56200,53,9546,53,206,105,101,2,30,1,1
56063,53,23721,53,196,102,94,2,31,1,1
40988,80,28753,80,19112,2192,16920,46,90,23,23
27005,27016,31585,27016,876,126,750,2,30,1,1
50920,443,55566,443,6273,1375,4898,18,127,9,9
56088,53,23327,53,256,93,163,2,31,1,1
54816,443,23557,443,130,70,60,3,4,2,1
52163,443,4704,443,4187,773,3414,16,30,9,7
55697,53,39982,53,186,95,91,2,31,1,1
64811,53,21833,53,193,102,91,2,30,1,1
60505,53,0,0,340,90,250,2,31,1,1
49933,53,13874,53,186,102,84,2,30,1,1
9307,443,6375,443,4458,1022,3436,16,26,9,7
27005,27015,40148,27015,886,126,760,2,31,1,1
27739,7000,27739,7000,2163,676,1487,14,15,7,7
64073,53,23568,53,199,102,97,2,30,1,1
10151,38030,53424,38030,481,150,331,2,1200,1,1
49558,443,48351,443,12704,3459,9245,50,1336,18,32
58993,443,47340,443,6414,1614,4800,24,17,13,11
51550,53,60452,53,168,78,90,2,30,1,1
57600,80,57600,80,3164,815,2349,12,144,6,6
59005,443,56215,443,6306,1780,4526,28,33,14,14
55071,53,10472,53,170,87,83,2,31,1,1
55754,53,55090,53,199,102,97,2,30,1,1
49728,443,36312,443,5037,1135,3902,16,18,9,7
49902,443,36938,443,109400,8787,100613,159,81,78,81
61422,443,38584,443,8360,1781,6579,23,77,12,11
49498,53,33432,53,211,102,109,2,30,1,1
56365,53,14208,53,199,102,97,2,30,1,1
61698,80,14302,80,7712,4248,3464,23,51,12,11
51833,47388,62543,47388,70,70,0,1,5,1,0
53856,443,18832,443,495,421,74,4,0,3,1
51774,80,22011,80,240,120,120,5,27,3,2
55216,53,52646,53,179,94,85,2,30,1,1
56486,443,16895,443,2673671,30446,2643225,2145,125,234,1911
59882,443,38875,443,10017,3031,6986,30,45,17,13
59570,443,54074,443,6713,3052,3661,49,5974,15,34
60469,53,22418,53,78,78,0,1,30,1,0
64728,443,31234,443,25423484,377367,25046117,21027,1082,2865,18162
55656,53,48878,53,212,108,104,2,31,1,1
50600,80,53751,80,1658,1247,411,8,15,5,3
56366,443,31914,443,3715,1791,1924,23,203,12,11
9249,443,2759,443,6132,767,5365,17,26,9,8
62995,53,21772,53,102,102,0,1,30,1,0
6881,30279,63096,30279,150,150,0,1,1200,1,0
43032,443,42506,443,2940,1721,1219,17,361,9,8
50723,80,33475,80,1546,1109,437,7,15,5,2
55729,63805,38910,63805,70,70,0,2,8,2,0
50523,53,17417,53,199,102,97,2,30,1,1
51771,80,34714,80,76066,3663,72403,92,24,40,52
40800,443,27923,443,19403,4043,15360,36,48,19,17
59637,53,37515,53,273,94,179,2,30,1,1
53140,80,7682,80,9602,814,8788,19,129,10,9
43223,443,31934,443,836939,25380,811559,864,64,302,562
48817,51413,48817,51413,460,150,310,2,1200,1,1
55584,53,28071,53,177,94,83,2,30,1,1
64407,53,28727,53,291,94,197,2,30,1,1
50022,53,19595,53,182,94,88,2,30,1,1
52716,443,35091,443,69951,4941,65010,95,351,45,50
56644,443,57838,443,7862,1873,5989,20,15,11,9
32578,443,32578,443,25033,2433,22600,42,25,21,21
51448,80,39374,80,214,140,74,4,15,3,1
56935,53,38764,53,179,94,85,2,30,1,1
52713,443,22767,443,26235,2216,24019,39,318,17,22
48831,443,51436,443,10129,5016,5113,18,120,9,9
59516,443,21075,443,9943,1882,8061,32,33,15,17
57318,53,50520,53,418,88,330,4,41,2,2
6881,13929,23344,13929,502,150,352,2,1200,1,1
37330,53,37330,53,237,91,146,2,31,1,1
6881,33969,15980,33969,509,150,359,2,1200,1,1
52003,80,22055,80,16479,1820,14659,31,26,17,14
49741,53,17465,53,177,94,83,2,30,1,1
51378,3027,51378,3027,156,156,0,3,8,3,0
13699,53,13699,53,194,87,107,2,30,1,1
50181,80,60161,80,2149,1165,984,15,77,8,7
46232,53,46232,53,216,90,126,2,30,1,1
49328,53,46932,53,748,94,654,2,30,1,1
56612,53,25011,53,274,87,187,4,31,2,2
37664,443,11325,443,3338,2337,1001,18,45,11,7
53769,443,28627,443,499,425,74,4,0,3,1
65313,53,7915,53,166,86,80,2,30,1,1
54225,443,6300,443,499,425,74,4,0,3,1
53528,20485,38765,20485,70,70,0,2,7,2,0
64956,53,29274,53,196,102,94,2,30,1,1
58732,443,10734,443,1038,502,536,16,33,8,8
58869,443,7982,443,4052,2588,1464,18,16,9,9
51975,11998,29831,11998,66,66,0,1,5,1,0
49418,27015,26438,27015,78,78,0,1,30,1,0
49840,53,47224,53,463,87,376,4,38,2,2
65298,53,43096,53,246,102,144,2,30,1,1
55795,53,49814,53,177,94,83,2,30,1,1
47034,443,4001,443,4531,3268,1263,23,27,13,10
64235,53,36798,53,194,99,95,2,30,1,1
65377,443,4212,443,4864,2496,2368,33,121,17,16
53878,55950,30797,55950,70,70,0,1,5,1,0
46770,80,34528,80,2068,1371,697,13,83,7,6
49363,53,12270,53,208,106,102,2,30,1,1
56986,53,63697,53,177,94,83,2,30,1,1
5176,53,35292,53,86,86,0,1,30,1,0
49433,53,5828,53,167,86,81,2,29,1,1
37637,53,37222,53,168,78,90,2,30,1,1
49745,53,63902,53,1472,98,1374,4,54,2,2
64266,53,14538,53,255,102,153,2,30,1,1
49235,53,6024,53,164,86,78,2,31,1,1
56369,53,59261,53,193,102,91,2,29,1,1
65206,53,37251,53,193,102,91,2,30,1,1
45341,443,7736,443,2754,1394,1360,22,36,11,11
56496,53,41605,53,193,102,91,2,30,1,1
44052,80,38453,80,282,60,222,5,12,2,3
50581,53,22242,53,177,94,83,2,30,1,1
40404,443,18265,443,280,140,140,5,130,3,2
56040,53,54233,53,761,100,661,2,30,1,1
41981,80,51523,80,1556,1236,320,10,15,5,5
50907,443,12062,443,124,64,60,2,15,1,1
65487,53,56832,53,210,110,100,2,30,1,1
57626,443,3957,443,3858,1277,2581,12,120,6,6
56351,53,53304,53,195,102,93,2,33,1,1
55377,53,19699,53,1428,103,1325,4,32,2,2
51861,23919,4159,23919,70,70,0,1,5,1,0
49863,443,52855,443,7280,1441,5839,17,89,9,8
64941,53,8617,53,199,102,97,2,30,1,1
53731,443,61889,443,499,425,74,4,0,3,1
60474,443,49891,443,5888,1175,4713,19,76,11,8
57265,443,12728,443,9633,4368,5265,32,71,18,14
57334,53,51470,53,184,94,90,2,29,1,1
52539,80,47321,80,1152,712,440,10,15,5,5
65229,53,47918,53,195,102,93,2,30,1,1
37579,443,43995,443,499,425,74,4,0,3,1
64758,443,35347,443,5066,2558,2508,26,127,13,13
57025,53,3380,53,168,86,82,2,31,1,1
54079,443,33342,443,1050267,44816,1005451,1276,177,580,696
55195,443,41833,443,907774,32911,874863,898,460,195,703
52040,53,52040,53,251,98,153,2,31,1,1
37116,80,37116,80,2971,1509,1462,10,15,6,4
55667,19667,52444,19667,70,70,0,2,8,2,0
55928,443,33892,443,5433,3275,2158,16,135,8,8
50002,53,11892,53,196,102,94,2,31,1,1
53869,17089,38908,17089,70,70,0,1,4,1,0
51911,14543,57115,14543,70,70,0,2,8,2,0
55704,53,11582,53,260,102,158,2,30,1,1
57038,53,18190,53,240,86,154,2,30,1,1
50069,53,45809,53,764,102,662,2,29,1,1
50478,443,64929,443,36345,2308,34037,52,83,23,29
55865,53,14766,53,325,98,227,4,40,2,2
49508,53,13388,53,199,102,97,2,30,1,1
53113,8372,13040,8372,758,320,438,11,17,6,5
64120,443,47176,443,3767437,87322,3680115,3675,52,1230,2445
34319,443,65277,443,15358,11148,4210,93,423,51,42
53806,37267,20623,37267,70,70,0,1,4,1,0
55285,53,1660,53,268,95,173,4,45,2,2
60951,443,8364,443,11464,5499,5965,54,15,29,25
58760,443,37477,443,5927,794,5133,17,25,8,9
54472,443,49806,443,6732,2308,4424,21,141,9,12
55618,45341,55864,45341,70,70,0,2,8,2,0
56938,53,41054,53,198,101,97,2,30,1,1
44682,443,42842,443,2750,1891,859,17,25,10,7
51963,21638,43079,21638,70,70,0,1,5,1,0
25776,53,25776,53,233,90,143,2,32,1,1
1100,27540,42086,27540,132,70,62,2,29,1,1
27005,27017,57092,27017,900,126,774,2,30,1,1
60355,443,30669,443,5341,2434,2907,19,135,9,10
49668,53,59883,53,200,94,106,2,29,1,1
53126,443,9290,443,5604,2738,2866,20,325,10,10
56804,33375,39167,33375,70,70,0,2,8,2,0
64986,53,17110,53,183,94,89,2,31,1,1
56646,80,51204,80,234,234,0,4,12,4,0
49531,443,58024,443,8107,2474,5633,24,25,12,12
64181,53,18587,53,194,102,92,2,31,1,1
51100,443,10929,443,9429,1978,7451,27,46,14,13
55999,443,53262,443,45632,2078,43554,58,120,22,36
57185,53,50357,53,784,94,690,2,30,1,1
51982,443,54748,443,9010,2779,6231,30,361,15,15
32805,443,65246,443,438124,21529,416595,481,398,138,343
52781,443,23345,443,1581,924,657,15,125,7,8
49795,443,22996,443,7243,777,6466,17,126,8,9
55032,443,19722,443,8965,3021,5944,39,360,22,17
49564,53,46836,53,186,95,91,2,31,1,1
55056,80,55056,80,2959,1505,1454,10,16,6,4
56628,443,13354,443,8240,3521,4719,25,18,15,10
65469,53,36424,53,308,110,198,2,30,1,1
56594,53,29926,53,788,108,680,2,30,1,1
55077,53,1629,53,174,89,85,2,31,1,1
52898,80,52898,80,1916,1467,449,10,19,6,4
57470,55000,8797,55000,726,726,0,12,1200,12,0
59928,80,12349,80,5755,3943,1812,24,31,13,11
56871,53,27631,53,198,86,112,2,30,1,1
47330,443,38110,443,9297,2727,6570,27,80,15,12
49665,80,5154,80,2237,508,1729,10,125,6,4
49354,443,56660,443,4379,2565,1814,24,81,11,13
53577,8999,47694,8999,372,186,186,6,15,3,3
56756,443,1855,443,7565,2187,5378,27,24,15,12
56562,53,8442,53,726,85,641,2,30,1,1
62329,53,9486,53,268,86,182,2,30,1,1
36471,443,15597,443,83203,3599,79604,101,138,41,60
27005,27016,20035,27016,903,126,777,2,31,1,1
55039,443,64407,443,10961,2666,8295,35,237,16,19
5588,5588,0,0,3354,1792,1562,46,194,23,23
50872,80,50084,80,54441,4387,50054,75,140,37,38
50471,80,51148,80,1658,1247,411,8,15,5,3
0,0,0,0,480,244,236,4,0,2,2
52786,443,4838,443,9032,2673,6359,30,142,16,14
62071,443,12103,443,134,60,74,3,4,2,1
55057,53,26203,53,211,110,101,2,30,1,1
61631,443,61631,443,4748,1841,2907,19,26,11,8
53438,443,53438,443,2511,1465,1046,21,102,10,11
40238,443,22315,443,7283,2384,4899,25,361,12,13
65070,53,45301,53,821,102,719,2,30,1,1
56747,42333,2469,42333,66,66,0,1,5,1,0
55101,53,1606,53,197,102,95,2,30,1,1
49446,53,1735,53,403,142,261,2,30,1,1
51883,16325,58501,16325,316,136,180,6,6,3,3
46617,53,46617,53,213,87,126,2,30,1,1
63093,443,45246,443,304,86,218,2,30,1,1
57416,53,52623,53,186,95,91,2,30,1,1
9193,443,3894,443,5043,432,4611,12,16,6,6
35112,443,57886,443,3242,1248,1994,26,362,7,19
49839,53,21176,53,315,102,213,2,30,1,1
57371,443,2707,443,5619,927,4692,17,15,10,7
56644,443,7171,443,12924,3689,9235,31,82,17,14
49645,80,12574,80,318,192,126,6,41,4,2
65113,53,56187,53,232,102,130,2,29,1,1
53682,20884,50647,20884,70,70,0,1,4,1,0
46009,53,4263,53,199,94,105,2,30,1,1
51903,35904,40844,35904,70,70,0,1,5,1,0
51798,37020,7892,37020,70,70,0,1,5,1,0
1928,53,30597,53,210,78,132,2,29,1,1
58761,443,45887,443,318,192,126,6,26,4,2
50349,443,62395,443,1385,868,517,12,30,6,6
49352,443,51520,443,10055,1184,8871,21,76,9,12
43918,5228,35546,5228,2276,1356,920,15,3601,7,8
55695,53,46724,53,209,102,107,2,30,1,1
53904,1024,55644,1024,70,70,0,1,4,1,0
54307,443,65534,443,5661,1444,4217,19,135,11,8
19037,53,19037,53,227,89,138,2,31,1,1
56617,3389,56617,3389,3425,1470,1955,16,17,8,8
56649,443,46574,443,4628,1035,3593,19,25,11,8
39133,5223,14877,5223,4113,1213,2900,22,713,12,10
54627,80,54627,80,12385,1831,10554,20,20,9,11
61281,443,15563,443,3169,979,2190,14,135,7,7
49839,443,44506,443,7021,1767,5254,26,224,13,13
63018,53,50611,53,384,166,218,2,29,1,1
60868,443,49136,443,9660,2402,7258,27,46,15,12
53557,39731,46000,39731,70,70,0,2,8,2,0
57242,53,53275,53,184,86,98,2,29,1,1
53846,443,62098,443,499,425,74,4,0,3,1
49812,53,36103,53,1411,98,1313,4,52,2,2
63366,30365,36289,30365,70,70,0,1,4,1,0
49418,27080,21881,27080,238,78,160,2,30,1,1
51734,59825,40402,59825,70,70,0,2,8,2,0
8949,53,8949,53,832,106,726,2,30,1,1
54330,443,28162,443,7329,3011,4318,30,127,14,16
58177,443,64098,443,810,340,470,13,34,6,7
34990,80,36946,80,1534,996,538,10,35,6,4
57349,53,0,0,222,86,136,2,30,1,1
57096,53,45247,53,198,102,96,2,30,1,1
63592,443,55191,443,6485,1871,4614,27,140,14,13
57321,53,25115,53,498,204,294,6,29,3,3
50695,80,16857,80,1426,865,561,9,15,5,4
43910,443,49945,443,10506,2984,7522,30,15,17,13
55267,53,45498,53,168,78,90,2,29,1,1
45627,443,47069,443,7092,1883,5209,21,21,12,9
37433,443,8364,443,8641,955,7686,19,259,8,11
56924,53,46939,53,177,94,83,2,30,1,1
27005,27016,64097,27016,880,126,754,2,30,1,1
9130,80,10198,80,318,192,126,6,30,4,2
55384,53,24803,53,194,102,92,2,30,1,1
49656,443,4978,443,182624,7130,175494,212,132,77,135
55454,53,60200,53,202,103,99,2,31,1,1
51221,9869,40891,9869,870,330,540,12,1298,6,6
52093,443,48994,443,3687037,41923,3645114,3002,34,534,2468
65189,53,20195,53,176,90,86,2,31,1,1
59877,443,61626,443,9024,1533,7491,25,110,11,14
60346,53,60346,53,241,98,143,2,30,1,1
49743,53,1715,53,210,94,116,2,30,1,1
56320,53,53678,53,183,94,89,2,30,1,1
6666,21,6666,21,66,66,0,1,5,1,0
10010,40029,17242,40029,148,86,62,2,29,1,1
55261,53,37106,53,177,94,83,2,30,1,1
52096,443,13873,443,4747,3601,1146,18,15,10,8
53705,443,11151,443,499,425,74,4,0,3,1
56645,443,46847,443,7914,1925,5989,20,15,11,9
58638,5900,58638,5900,66,66,0,1,4,1,0
65468,443,32669,443,421329,12430,408899,433,16,152,281
65319,53,30506,53,285,103,182,4,44,2,2
65115,53,32763,53,167,86,81,2,30,1,1
36886,443,32940,443,2907,1637,1270,20,364,11,9
65220,53,61957,53,811,94,717,2,30,1,1
53505,8102,48744,8102,1495,843,652,10,30,5,5
48286,443,48286,443,4621,1714,2907,19,26,11,8
65029,53,39227,53,214,102,112,2,29,1,1
59902,443,47216,443,6196,746,5450,17,28,8,9
56662,443,60423,443,1233,730,503,12,25,7,5
56565,53,34463,53,164,86,78,2,30,1,1
57749,15000,61462,15000,130,70,60,2,6,1,1
55214,53,41945,53,711,87,624,2,31,1,1
58638,5900,58638,5900,66,66,0,1,4,1,0
56520,53,53336,53,177,94,83,2,31,1,1
49159,53,5839,53,195,86,109,2,30,1,1
58911,443,55607,443,5168,700,4468,16,16,7,9
65316,53,63877,53,780,93,687,2,30,1,1
58856,443,44646,443,4552,2750,1802,27,95,15,12
61406,443,61406,443,4529,1622,2907,19,27,11,8
50493,443,36062,443,2147464,35144,2112320,1951,72,540,1411
64789,53,51641,53,199,102,97,2,30,1,1
49676,53,9085,53,200,94,106,2,30,1,1
40599,443,12842,443,89724,81316,8408,148,404,69,79
59894,443,37643,443,1537,934,603,14,33,7,7
57470,51413,19647,51413,740725,699740,40985,1031,1411,616,415
49972,53,55153,53,216,110,106,2,30,1,1
56740,443,56740,443,41851,2810,39041,66,45,31,35
47504,443,4278,443,6496,3631,2865,71,606,39,32
33367,80,33367,80,424,198,226,7,141,4,3
54248,443,24435,443,499,425,74,4,0,3,1
55525,53,40797,53,210,102,108,2,30,1,1
14429,443,41458,443,4118,2905,1213,27,87,16,11
56366,443,56718,443,7234,4345,2889,27,235,15,12
49827,443,50182,443,5863,1580,4283,17,15,9,8
50481,443,29111,443,16160,13969,2191,42,80,23,19
51535,443,24359,443,322,262,60,2,4,1,1
57341,53,40485,53,296,97,199,4,41,2,2
40329,80,42227,80,2128,798,1330,14,46,7,7
49936,53,12720,53,754,94,660,2,30,1,1
64396,53,1161,53,211,102,109,2,30,1,1
56009,53,46044,53,178,94,84,2,30,1,1
49418,53,2882,53,165,86,79,2,30,1,1
49355,53,58716,53,193,102,91,2,29,1,1
49899,7000,49899,7000,758568,17631,740937,772,17,269,503
49949,53,15582,53,193,102,91,2,30,1,1
43776,7000,43776,7000,3174,1617,1557,17,18,9,8
37786,443,52361,443,5544,2626,2918,28,145,15,13
56006,53,22097,53,200,102,98,2,30,1,1
57438,53,26523,53,340,110,230,2,29,1,1
55034,443,13403,443,7969,4870,3099,36,360,20,16
63062,53,18913,53,70,70,0,1,30,1,0
51927,63309,55046,63309,70,70,0,2,8,2,0
59982,443,64265,443,7693,1284,6409,24,81,12,12
50472,80,63342,80,12222,3865,8357,23,22,11,12
57356,53,43032,53,780,93,687,2,30,1,1
50582,53,14787,53,216,110,106,2,30,1,1
64567,443,55637,443,272081,11032,261049,304,139,107,197
50332,53,12740,53,193,102,91,2,29,1,1
0,0,0,0,320,320,0,5,0,5,0
54008,443,44994,443,4249,724,3525,13,15,7,6
49567,443,55321,443,6408,2531,3877,21,15,11,10
53166,39564,63800,39564,70,70,0,1,5,1,0
41813,443,58792,443,33072,3479,29593,71,98,38,33
63672,53,63672,53,198,90,108,2,30,1,1
55619,53,46483,53,183,94,89,2,30,1,1
27005,50019,16642,50019,877,126,751,2,30,1,1
57470,50321,46751,50321,538,166,372,2,1199,1,1
42156,80,50916,80,1323,335,988,10,15,5,5
55921,443,24781,443,4348,1536,2812,14,121,6,8
49954,53,40035,53,211,102,109,2,31,1,1
57167,53,27604,53,195,102,93,2,30,1,1
48786,80,30638,80,1834,1520,314,14,15,9,5
58346,443,42517,443,5571,1518,4053,22,614,13,9
32971,443,32971,443,18895,2061,16834,34,17,18,16
27005,27333,40989,27333,890,126,764,2,30,1,1
60914,53,60914,53,180,82,98,2,29,1,1
63033,443,16495,443,6869,3059,3810,30,123,15,15
49418,30000,55086,30000,280,78,202,2,30,1,1
65389,53,2887,53,215,102,113,2,30,1,1
57406,53,8433,53,194,102,92,2,31,1,1
49341,53,42621,53,198,101,97,2,30,1,1
58263,443,17697,443,12494,5331,7163,48,122,21,27
59955,25,59955,25,1656,677,979,21,16,10,11
55706,53,23729,53,209,110,99,2,30,1,1
41592,443,47156,443,2913,1752,1161,15,15,9,6
51775,57887,37993,57887,66,66,0,1,5,1,0
56773,53,53330,53,183,94,89,2,29,1,1
57610,443,60687,443,4327,674,3653,14,25,8,6
49509,443,19603,443,4091,1015,3076,15,27,8,7
54023,443,2526,443,7653,1188,6465,21,16,12,9
29268,53,40863,53,220,78,142,2,30,1,1
65007,53,49517,53,330,94,236,4,55,2,2
27005,12345,8943,12345,898,126,772,2,31,1,1
49418,27015,40733,27015,242,78,164,2,30,1,1
59893,80,45322,80,130,70,60,2,15,1,1
58186,443,61282,443,5086,3296,1790,36,56,18,18
61286,443,41653,443,248071,7320,240751,269,268,89,180
49686,53,55592,53,183,94,89,2,30,1,1
59242,443,7294,443,7192,2002,5190,24,360,11,13
49631,53,37899,53,184,102,82,2,30,1,1
55382,53,44759,53,738,86,652,2,31,1,1
49272,53,2689,53,198,102,96,2,29,1,1
49575,80,43723,80,318,192,126,6,43,4,2
55748,53,59262,53,188,96,92,2,31,1,1
56838,53,39774,53,177,94,83,2,30,1,1
52323,443,4848,443,454059,23387,430672,602,76,275,327
53745,443,56954,443,499,425,74,4,0,3,1
26900,27017,38519,27017,422,164,258,6,30,3,3
36993,443,63240,443,7768,3071,4697,23,17,12,11
32813,53,32813,53,414,268,146,3,33,2,1
50134,53,12196,53,768,99,669,2,30,1,1
55913,53,19739,53,177,94,83,2,30,1,1
57366,53,63370,53,745,93,652,2,31,1,1
61707,80,47062,80,134,60,74,3,4,2,1
45237,53,45237,53,235,90,145,2,33,1,1
57363,53,3624,53,193,102,91,2,30,1,1
2267,53,13184,53,826,826,0,8,44,8,0
51794,53911,18093,53911,70,70,0,1,5,1,0
54246,80,56298,80,506,292,214,8,16,5,3
55372,53,41205,53,271,93,178,4,43,2,2
44383,443,25298,443,14780,11289,3491,59,219,32,27
65516,53,16518,53,209,110,99,2,31,1,1
64093,64828,28561,64828,66,66,0,2,7,2,0
57790,443,14547,443,6321,3341,2980,19,135,9,10
49826,443,11659,443,6105,852,5253,17,77,9,8
65503,53,29061,53,177,94,83,2,30,1,1
51432,80,62424,80,1675,539,1136,8,178,5,3
56114,53,31669,53,194,86,108,2,30,1,1
59259,80,59259,80,101244,15308,85936,165,15,53,112
37075,80,59950,80,1597,783,814,10,15,5,5
51808,46390,34181,46390,70,70,0,1,4,1,0
37460,443,55415,443,2885,1732,1153,16,256,9,7
34179,80,3058,80,2137,1258,879,11,150,6,5
50934,80,52977,80,10213447,100765,10112682,8215,121,1412,6803
61527,443,62594,443,17161,1619,15542,18,143,4,14
55258,443,6481,443,1786,172,1614,7,120,3,4
59422,53,43330,53,168,78,90,2,30,1,1
55058,53,43398,53,216,110,106,2,31,1,1
50379,443,5364,443,6748,1843,4905,21,29,11,10
64063,37832,22712,37832,70,70,0,1,4,1,0
53512,23280,49318,23280,1950,957,993,17,17,10,7
57127,53,41259,53,195,102,93,2,30,1,1
57147,53,3974,53,166,86,80,2,31,1,1
64074,53,3754,53,202,103,99,2,31,1,1
41047,443,9579,443,6423,744,5679,16,16,9,7
49602,53,1592,53,178,94,84,2,30,1,1
9058,443,18160,443,5655,934,4721,16,130,8,8
53890,23310,38031,23310,70,70,0,1,4,1,0
64790,53,60024,53,178,94,84,2,29,1,1
60447,36396,58005,36396,70,70,0,1,5,1,0
